year,state,state_code,sex,age_code,UCD,deaths,population,obesity_pct,uninsured_pct,income_mean,employed_pct,diabetes_pct,educa_z,smoking_pct_z,binge_drink_pct_z,seatbelt_always_pct_z,rural_pct,years_from_start,ypll_pred,cause_short,factor,ypll_adj,deaths_num
1999,Alabama,1.0,F,1,"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Suppressed,28712.0,24.26070169522408,15.065966236760328,4.879942950427139,60.49004123813781,7.377977196774749,-1.6261722125089753,0.1425066712530635,-0.9292521839161676,1.1053672733505335,44.6,0,268.7144097322037,accidents,0.8,214.971527785763,0.0
1999,Alabama,1.0,F,1,#Cerebrovascular diseases (I60-I69),0,28712.0,24.26070169522408,15.065966236760328,4.879942950427139,60.49004123813781,7.377977196774749,-1.6261722125089753,0.1425066712530635,-0.9292521839161676,1.1053672733505335,44.6,0,268.7144097322037,stroke,0.95,255.2786892455935,0.0
1999,Alabama,1.0,F,1,#Chronic lower respiratory diseases (J40-J47),0,28712.0,24.26070169522408,15.065966236760328,4.879942950427139,60.49004123813781,7.377977196774749,-1.6261722125089753,0.1425066712530635,-0.9292521839161676,1.1053672733505335,44.6,0,268.7144097322037,lower_resp,1.0,268.7144097322037,0.0
1999,Alabama,1.0,F,1,"#Diseases of heart (I00-I09,I11,I13,I20-I51)",Suppressed,28712.0,24.26070169522408,15.065966236760328,4.879942950427139,60.49004123813781,7.377977196774749,-1.6261722125089753,0.1425066712530635,-0.9292521839161676,1.1053672733505335,44.6,0,268.7144097322037,heart_disease,1.0,268.7144097322037,0.0
1999,Alabama,1.0,F,1,#Malignant neoplasms (C00-C97),Suppressed,28712.0,24.26070169522408,15.065966236760328,4.879942950427139,60.49004123813781,7.377977196774749,-1.6261722125089753,0.1425066712530635,-0.9292521839161676,1.1053672733505335,44.6,0,268.7144097322037,cancer,0.9,241.84296875898335,0.0
1999,Alabama,1.0,M,1,"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)",16,30075.0,24.26070169522408,15.065966236760328,4.879942950427139,60.49004123813781,7.377977196774749,-1.6261722125089753,0.1425066712530635,-0.9292521839161676,1.1053672733505335,44.6,0,286.07597611159093,accidents,0.8,228.86078088927275,16.0
1999,Alabama,1.0,M,1,#Cerebrovascular diseases (I60-I69),0,30075.0,24.26070169522408,15.065966236760328,4.879942950427139,60.49004123813781,7.377977196774749,-1.6261722125089753,0.1425066712530635,-0.9292521839161676,1.1053672733505335,44.6,0,286.07597611159093,stroke,0.95,271.7721773060114,0.0
1999,Alabama,1.0,M,1,#Chronic lower respiratory diseases (J40-J47),0,30075.0,24.26070169522408,15.065966236760328,4.879942950427139,60.49004123813781,7.377977196774749,-1.6261722125089753,0.1425066712530635,-0.9292521839161676,1.1053672733505335,44.6,0,286.07597611159093,lower_resp,1.0,286.07597611159093,0.0
1999,Alabama,1.0,M,1,"#Diseases of heart (I00-I09,I11,I13,I20-I51)",Suppressed,30075.0,24.26070169522408,15.065966236760328,4.879942950427139,60.49004123813781,7.377977196774749,-1.6261722125089753,0.1425066712530635,-0.9292521839161676,1.1053672733505335,44.6,0,286.07597611159093,heart_disease,1.0,286.07597611159093,0.0
1999,Alabama,1.0,M,1,#Malignant neoplasms (C00-C97),0,30075.0,24.26070169522408,15.065966236760328,4.879942950427139,60.49004123813781,7.377977196774749,-1.6261722125089753,0.1425066712530635,-0.9292521839161676,1.1053672733505335,44.6,0,286.07597611159093,cancer,0.9,257.46837850043187,0.0
